"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1560",2013,1,3,"South",9,71,"Villanova","North Carolina",78,8,0
"1561",2013,1,4,"East",1,83,"Indiana","James Madison",62,16,1
"1562",2013,1,4,"East",16,62,"James Madison","Indiana",83,1,0
"1563",2013,1,4,"East",2,78,"Miami","Pacific",49,15,1
"1564",2013,1,4,"East",15,49,"Pacific","Miami",78,2,0
"1565",2013,1,4,"East",3,59,"Marquette","Davidson",58,14,1
"1566",2013,1,4,"East",14,58,"Davidson","Marquette",59,3,0
"1567",2013,1,4,"East",4,81,"Syracuse","Montana",34,13,1
"1568",2013,1,4,"East",13,34,"Montana","Syracuse",81,4,0
"1569",2013,1,4,"East",5,61,"UNLV","California",64,12,0
"1570",2013,1,4,"East",12,64,"California","UNLV",61,5,1
"1571",2013,1,4,"East",6,68,"Butler","Bucknell",56,11,1
"1572",2013,1,4,"East",11,56,"Bucknell","Butler",68,6,0
"1573",2013,1,4,"East",7,57,"Illinois","Colorado",49,10,1
"1574",2013,1,4,"East",10,49,"Colorado","Illinois",57,7,0
"1575",2013,1,4,"East",8,72,"NC State","Temple",76,9,0
"1576",2013,1,4,"East",9,76,"Temple","NC State",72,8,1
"1577",2013,2,1,"Midwest",1,82,"Louisville","Colorado St",56,8,1
"1578",2013,2,1,"Midwest",8,56,"Colorado St","Louisville",82,1,0
"1579",2013,2,1,"Midwest",2,66,"Duke","Creighton",50,7,1
"1580",2013,2,1,"Midwest",7,50,"Creighton","Duke",66,2,0
"1581",2013,2,1,"Midwest",3,70,"Michigan St","Memphis",48,6,1
"1582",2013,2,1,"Midwest",6,48,"Memphis","Michigan St",70,3,0
"1583",2013,2,1,"Midwest",4,57,"St Louis","Oregon",74,12,0
"1584",2013,2,1,"Midwest",12,74,"Oregon","St Louis",57,4,1
"1585",2013,2,2,"West",1,70,"Gonzaga","Wichita St",76,9,0
"1586",2013,2,2,"West",9,76,"Wichita St","Gonzaga",70,1,1
"1587",2013,2,2,"West",2,78,"Ohio St","Iowa St",75,10,1
"1588",2013,2,2,"West",10,75,"Iowa St","Ohio St",78,2,0
"1589",2013,2,2,"West",14,51,"Harvard","Arizona",74,6,0
"1590",2013,2,2,"West",6,74,"Arizona","Harvard",51,14,1
"1591",2013,2,2,"West",13,76,"La Salle","Ole Miss",74,12,1
"1592",2013,2,2,"West",12,74,"Ole Miss","La Salle",76,13,0
"1593",2013,2,3,"South",1,70,"Kansas","North Carolina",58,8,1
"1594",2013,2,3,"South",8,58,"North Carolina","Kansas",70,1,0
"1595",2013,2,3,"South",15,81,"Florida Gulf Coast","San Diego St",71,7,1
"1596",2013,2,3,"South",7,71,"San Diego St","Florida Gulf Coast",81,15,0
"1597",2013,2,3,"South",3,78,"Florida","Minnesota",64,11,1
"1598",2013,2,3,"South",11,64,"Minnesota","Florida",78,3,0
"1599",2013,2,3,"South",4,78,"Michigan","VCU",53,5,1
"1600",2013,2,3,"South",5,53,"VCU","Michigan",78,4,0
"1601",2013,2,4,"East",1,58,"Indiana","Temple",52,9,1
"1602",2013,2,4,"East",9,52,"Temple","Indiana",58,1,0
"1603",2013,2,4,"East",2,63,"Miami","Illinois",59,7,1
"1604",2013,2,4,"East",7,59,"Illinois","Miami",63,2,0
"1605",2013,2,4,"East",3,74,"Marquette","Butler",72,6,1
"1606",2013,2,4,"East",6,72,"Butler","Marquette",74,3,0
"1607",2013,2,4,"East",4,66,"Syracuse","California",60,12,1
"1608",2013,2,4,"East",12,60,"California","Syracuse",66,4,0
"1609",2013,3,1,"Midwest",1,77,"Louisville","Oregon",69,12,1
"1610",2013,3,1,"Midwest",12,69,"Oregon","Louisville",77,1,0
"1611",2013,3,1,"Midwest",2,71,"Duke","Michigan St",61,3,1
"1612",2013,3,1,"Midwest",3,61,"Michigan St","Duke",71,2,0
"1613",2013,3,2,"West",9,72,"Wichita St","La Salle",58,13,1
"1614",2013,3,2,"West",13,58,"La Salle","Wichita St",72,9,0
"1615",2013,3,2,"West",2,73,"Ohio St","Arizona",70,6,1
"1616",2013,3,2,"West",6,70,"Arizona","Ohio St",73,2,0
"1617",2013,3,3,"South",1,85,"Kansas","Michigan",87,4,0
"1618",2013,3,3,"South",4,87,"Michigan","Kansas",85,1,1
"1619",2013,3,3,"South",15,50,"Florida Gulf Coast","Florida",62,3,0
"1620",2013,3,3,"South",3,62,"Florida","Florida Gulf Coast",50,15,1
"1621",2013,3,4,"East",1,50,"Indiana","Syracuse",61,4,0
"1622",2013,3,4,"East",4,61,"Syracuse","Indiana",50,1,1
"1623",2013,3,4,"East",2,61,"Miami","Marquette",71,3,0
"1624",2013,3,4,"East",3,71,"Marquette","Miami",61,2,1
"1625",2013,4,1,"Midwest",1,85,"Louisville","Duke",63,2,1
"1626",2013,4,1,"Midwest",2,63,"Duke","Louisville",85,1,0
"1627",2013,4,2,"West",9,70,"Wichita St","Ohio St",66,2,1
"1628",2013,4,2,"West",2,66,"Ohio St","Wichita St",70,9,0
"1629",2013,4,3,"South",4,79,"Michigan","Florida",59,3,1
"1630",2013,4,3,"South",3,59,"Florida","Michigan",79,4,0
"1631",2013,4,4,"East",4,55,"Syracuse","Marquette",39,3,1
"1632",2013,4,4,"East",3,39,"Marquette","Syracuse",55,4,0
"1633",2013,5,1,"Final Four",1,72,"Louisville","Wichita St",68,9,1
"1634",2013,5,1,"Final Four",9,68,"Wichita St","Louisville",72,1,0
"1635",2013,5,2,"Final Four",4,61,"Michigan","Syracuse",56,4,1
"1636",2013,5,2,"Final Four",4,56,"Syracuse","Michigan",61,4,0
"1637",2013,6,1,"Championship",1,82,"Louisville","Michigan",76,4,1
"1638",2013,6,1,"Championship",4,76,"Michigan","Louisville",82,1,0
"1639",2014,1,1,"South",1,67,"Florida","Albany",55,16,1
"1640",2014,1,1,"South",16,55,"Albany","Florida",67,1,0
"1641",2014,1,1,"South",2,80,"Kansas","Eastern Kentucky",69,15,1
"1642",2014,1,1,"South",15,69,"Eastern Kentucky","Kansas",80,2,0
"1643",2014,1,1,"South",3,77,"Syracuse","Western Michigan",53,14,1
"1644",2014,1,1,"South",14,53,"Western Michigan","Syracuse",77,3,0
"1645",2014,1,1,"South",4,76,"UCLA","Tulsa",59,13,1
"1646",2014,1,1,"South",13,59,"Tulsa","UCLA",76,4,0
"1647",2014,1,1,"South",5,75,"VCU","Stephen F Austin",77,12,0
"1648",2014,1,1,"South",12,77,"Stephen F Austin","VCU",75,5,1
"1649",2014,1,1,"South",6,59,"Ohio St","Dayton",60,11,0
"1650",2014,1,1,"South",11,60,"Dayton","Ohio St",59,6,1
"1651",2014,1,1,"South",7,53,"New Mexico","Stanford",58,10,0
"1652",2014,1,1,"South",10,58,"Stanford","New Mexico",53,7,1
"1653",2014,1,1,"South",8,48,"Colorado","Pittsburgh",77,9,0
"1654",2014,1,1,"South",9,77,"Pittsburgh","Colorado",48,8,1
"1655",2014,1,2,"East",1,70,"Virginia","Coastal Carolina",59,16,1
"1656",2014,1,2,"East",16,59,"Coastal Carolina","Virginia",70,1,0
"1657",2014,1,2,"East",2,73,"Villanova","Wisconsin Milwaukee",53,15,1
"1658",2014,1,2,"East",15,53,"Wisconsin Milwaukee","Villanova",73,2,0
"1659",2014,1,2,"East",3,93,"Iowa St","North Carolina Central",75,14,1
"1660",2014,1,2,"East",14,75,"North Carolina Central","Iowa St",93,3,0
"1661",2014,1,2,"East",4,93,"Michigan St","Delaware",78,13,1
"1662",2014,1,2,"East",13,78,"Delaware","Michigan St",93,4,0
"1663",2014,1,2,"East",5,57,"Cincinnati","Harvard",61,12,0
"1664",2014,1,2,"East",12,61,"Harvard","Cincinnati",57,5,1
"1665",2014,1,2,"East",6,79,"North Carolina","Providence",77,11,1
"1666",2014,1,2,"East",11,77,"Providence","North Carolina",79,6,0
"1667",2014,1,2,"East",7,89,"Connecticut","St Josephs",81,10,1
"1668",2014,1,2,"East",10,81,"St Josephs","Connecticut",89,7,0
"1669",2014,1,2,"East",8,71,"Memphis","George Washington",66,9,1
"1670",2014,1,2,"East",9,66,"George Washington","Memphis",71,8,0
"1671",2014,1,3,"West",1,88,"Arizona","Weber St",59,16,1
"1672",2014,1,3,"West",16,59,"Weber St","Arizona",88,1,0
"1673",2014,1,3,"West",2,75,"Wisconsin","American",35,15,1
