School,G,W_overall,L_overall,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
Alabama State,31,22,9,.710,-8.86,-13.61,2135,1980,,756,1713,.441,165,506,.326,458,696,.658,386,1175,410,260,93,510,502,2001
Arizona,36,28,8,.778,26.84,12.56,2926,2386,,1015,2131,.476,193,544,.355,703,940,.748,487,1433,585,283,159,546,630,2001
Arkansas,31,20,11,.645,16.61,6.16,2476,2132,,881,1990,.443,273,741,.368,441,639,.690,410,1100,476,365,124,451,654,2001
Boston College,32,27,5,.844,17.99,5.18,2547,2129,,879,1934,.454,230,651,.353,559,788,.709,486,1166,464,326,97,423,652,2001
Brigham Young,33,24,9,.727,10.94,3.47,2324,2069,,744,1620,.459,185,485,.381,651,835,.780,292,1052,414,203,108,433,491,2001
Butler,32,24,8,.750,12.55,3.98,2228,1946,,755,1643,.460,251,617,.407,467,652,.716,305,922,388,222,89,377,505,2001
Cal State Northridge,32,22,10,.688,5.94,0.24,2650,2409,,910,1842,.494,217,547,.397,613,865,.709,373,1158,608,267,77,489,716,2001
University of California,31,20,11,.645,14.76,9.08,2304,2128,,813,1699,.479,176,503,.350,502,732,.686,281,998,508,225,66,424,570,2001
Charlotte,33,22,11,.667,14.24,7.91,2583,2374,,873,1998,.437,305,848,.360,532,777,.685,411,1267,471,231,97,418,663,2001
Cincinnati,35,25,10,.714,16.19,7.84,2586,2294,,921,2076,.444,214,600,.357,530,760,.697,464,1216,451,194,118,380,666,2001
Creighton,32,24,8,.750,12.40,3.00,2325,2024,,788,1782,.442,249,694,.359,500,712,.702,357,1084,490,293,114,426,646,2001
Duke,39,35,4,.897,32.18,11.98,3538,2750,,1217,2530,.481,407,1057,.385,697,1002,.696,538,1505,701,411,196,531,659,2001
Eastern Illinois,31,21,10,.677,0.99,-2.46,2564,2439,,915,1931,.474,230,584,.394,504,650,.775,359,1124,514,197,116,427,577,2001
Florida,31,24,7,.774,21.32,7.51,2509,2081,,849,1764,.481,256,668,.383,555,761,.729,319,1145,538,271,114,451,589,2001
Fresno State,33,26,7,.788,15.66,5.14,2689,2342,,954,2030,.470,241,678,.355,540,793,.681,389,1240,592,330,209,551,626,2001
George Mason,30,18,12,.600,5.12,-0.35,2127,1963,,784,1705,.460,142,439,.323,417,633,.659,357,1018,411,252,129,429,544,2001
Georgetown,33,25,8,.758,12.07,1.58,2574,2228,,924,2115,.437,186,561,.332,540,817,.661,607,1481,547,324,198,550,694,2001
Georgia State,34,29,5,.853,5.25,-3.72,2701,2337,,929,2068,.449,276,780,.354,567,808,.702,441,1171,449,351,129,435,617,2001
Georgia Tech,30,17,13,.567,14.51,11.78,2269,2187,,776,1822,.426,260,700,.371,457,662,.690,345,1125,488,238,136,474,645,2001
Georgia,31,16,15,.516,12.67,12.71,2257,2258,,845,1820,.464,142,411,.345,425,632,.672,397,1193,471,195,149,485,569,2001
Gonzaga,33,26,7,.788,12.57,0.32,2720,2272,,915,1793,.510,245,606,.404,645,947,.681,369,1265,537,191,135,472,619,2001
Hampton,32,25,7,.781,-3.67,-10.60,2471,2246,,850,1846,.460,200,575,.348,571,835,.684,434,1243,449,218,185,489,596,2001
Hawaii,31,17,14,.548,6.89,7.25,2254,2265,,797,1703,.468,177,507,.349,483,666,.725,335,999,557,183,74,516,605,2001
Hofstra,31,26,5,.839,5.11,-5.47,2257,1929,,784,1657,.473,167,503,.332,522,807,.647,373,1166,414,237,119,511,547,2001
Holy Cross,30,22,8,.733,-0.31,-5.84,2034,1868,,640,1437,.445,136,388,.351,618,940,.657,388,1155,385,188,157,512,583,2001
Illinois,35,27,8,.771,23.32,11.38,2725,2307,,929,2046,.454,247,678,.364,620,880,.705,479,1400,550,269,146,524,772,2001
Indiana State,34,22,12,.647,6.95,2.50,2479,2305,,861,1872,.460,213,594,.359,544,772,.705,334,1069,521,237,100,402,576,2001
Indiana,34,21,13,.618,17.58,11.05,2408,2186,,858,1896,.453,181,500,.362,511,804,.636,377,1268,513,231,178,496,650,2001
Iona,33,22,11,.667,0.25,-4.09,2549,2375,,912,1896,.481,159,415,.383,566,822,.689,378,1239,481,259,183,557,717,2001
Iowa State,31,25,6,.806,15.90,4.87,2451,2115,,823,1735,.474,182,436,.417,623,856,.728,375,1228,429,190,102,467,636,2001
Iowa,35,23,12,.657,14.24,10.70,2593,2469,,815,1895,.430,210,573,.366,753,1068,.705,482,1351,474,191,83,520,783,2001
Kansas,33,26,7,.788,20.23,9.03,2707,2286,,1002,1996,.502,183,465,.394,520,789,.659,443,1407,641,217,170,532,648,2001
Kent State,34,24,10,.706,8.69,1.44,2390,2117,,823,1917,.429,180,516,.349,564,739,.763,403,1103,429,233,105,346,671,2001
Kentucky,34,24,10,.706,20.27,11.06,2713,2400,,988,2051,.482,245,708,.346,492,751,.655,464,1311,539,229,151,513,631,2001
Maryland,36,25,11,.694,23.82,10.99,3067,2605,,1120,2313,.484,205,540,.380,622,894,.696,543,1478,692,322,213,523,713,2001
Michigan State,33,28,5,.848,25.12,9.54,2553,2039,,957,1957,.489,146,453,.322,493,686,.719,514,1404,579,210,133,451,611,2001
Mississippi,35,27,8,.771,15.05,9.20,2496,2262,,865,1958,.442,224,655,.342,542,829,.654,416,1227,500,285,115,500,719,2001
Missouri,33,20,13,.606,10.76,9.19,2493,2402,,847,2015,.420,279,734,.380,520,742,.701,466,1259,418,258,132,497,679,2001
Monmouth,31,21,10,.677,-3.82,-8.85,2180,2024,,756,1664,.454,201,570,.353,467,678,.689,300,1055,439,280,105,471,517,2001
North Carolina-Greensboro,31,19,12,.613,-5.02,-5.85,2282,2230,,773,1741,.444,184,480,.383,552,718,.769,343,1049,414,271,118,475,648,2001
North Carolina,33,26,7,.788,19.95,11.77,2611,2341,,945,1972,.479,189,519,.364,532,794,.670,411,1363,576,244,184,518,576,2001
Northwestern State,32,19,13,.594,-11.10,-7.82,2292,2397,,768,1856,.414,175,551,.318,581,877,.662,410,1178,392,308,133,537,765,2001
Notre Dame,30,20,10,.667,14.35,5.68,2338,2078,,814,1763,.462,219,570,.384,491,714,.688,370,1214,527,199,178,434,501,2001
Ohio State,31,20,11,.645,15.68,8.17,2206,1973,,775,1645,.471,169,443,.381,487,697,.699,355,1090,473,161,160,471,607,2001
Oklahoma State,30,20,10,.667,10.81,4.70,2129,1936,,767,1652,.464,129,395,.327,466,736,.633,364,1139,406,241,115,506,568,2001
Oklahoma,33,26,7,.788,15.54,5.48,2454,2122,,859,1924,.446,242,636,.381,494,668,.740,420,1184,444,281,91,420,706,2001
Penn State,33,21,12,.636,12.42,10.54,2535,2473,,835,1962,.426,278,757,.367,587,768,.764,349,1069,481,279,117,407,657,2001
Princeton,27,16,11,.593,-2.53,-1.88,1562,1569,,540,1203,.449,218,619,.352,264,363,.727,174,692,383,180,61,340,456,2001
Providence,31,21,10,.677,13.74,5.44,2359,2049,1240,806,1809,.446,249,622,.400,498,693,.719,391,1129,506,286,172,467,644,2001
Saint Joseph's,33,26,7,.788,12.72,4.45,2625,2352,,905,1879,.482,255,716,.356,560,808,.693,368,1241,590,204,128,479,652,2001
Southern California,34,24,10,.706,16.53,10.83,2620,2420,,898,1955,.459,208,597,.348,616,873,.706,422,1250,514,259,151,512,617,2001
Southern Utah,31,25,6,.806,3.01,-3.42,2243,2015,,783,1602,.489,197,493,.400,480,673,.713,335,997,462,321,87,470,613,2001
Stanford,34,31,3,.912,25.76,9.86,2829,2226,,953,1865,.511,252,587,.429,671,903,.743,365,1244,568,187,108,438,778,2001
Syracuse,34,25,9,.735,11.14,5.82,2475,2294,,885,2029,.436,185,552,.335,520,727,.715,442,1213,545,325,203,441,681,2001
Temple,37,24,13,.649,16.20,9.77,2604,2366,,926,2168,.427,281,815,.345,471,673,.700,494,1322,416,270,138,307,585,2001
Tennessee,33,22,11,.667,15.49,10.28,2668,2496,,909,1980,.459,257,697,.369,593,872,.680,421,1301,528,232,191,528,712,2001
Texas,34,25,9,.735,14.25,8.89,2396,2211,,819,1990,.412,215,626,.343,543,835,.650,483,1346,414,268,191,502,771,2001
UCLA,32,23,9,.719,17.13,12.06,2544,2382,,902,1947,.463,190,535,.355,550,829,.663,441,1219,464,249,127,515,670,2001
Utah State,34,28,6,.824,9.97,-1.50,2404,1959,,852,1755,.485,200,513,.390,500,743,.673,370,1177,511,220,132,486,581,2001
Virginia,29,20,9,.690,18.93,8.72,2464,2168,,852,1872,.455,204,553,.369,556,755,.736,437,1131,420,221,98,399,590,2001
Wake Forest,30,19,11,.633,20.53,10.50,2296,1995,,838,1815,.462,177,494,.358,443,609,.727,342,1104,465,219,136,375,572,2001
Western Kentucky,31,24,7,.774,8.67,-1.65,2303,1889,,812,1789,.454,213,605,.352,466,674,.691,441,1240,452,246,155,453,588,2001
Winthrop,31,18,13,.581,-3.73,-7.80,2037,1917,,684,1676,.408,215,613,.351,454,661,.687,398,1103,351,223,78,441,610,2001
Wisconsin,29,18,11,.621,14.90,12.08,1723,1641,,575,1349,.426,174,477,.365,399,568,.702,233,869,358,172,68,337,520,2001
Xavier,29,21,8,.724,12.14,4.59,2130,1911,,706,1653,.427,178,587,.303,540,768,.703,391,1125,398,208,115,415,551,2001
Alabama,35,27,8,.771,16.93,7.67,2658,2334,,910,2071,.439,217,703,.309,621,844,.736,509,1369,460,257,113,490,,2002
Alcorn State,31,21,10,.677,-11.28,-14.18,2473,2374,,900,1935,.465,173,458,.378,500,777,.644,453,1243,496,258,125,538,,2002
Arizona,34,24,10,.706,16.93,12.49,2793,2642,,935,2039,.459,258,686,.376,665,910,.731,430,1286,527,207,103,478,,2002
